"technischerfeldname","sprechenderfeldname","feldbeschreibung"
"intnr2015Sort","Intervienummer","Laufende Ziffer zur Nummerierung aller Interviews [Code. Typ: Integer]."
"stadtkreiseLang","Stadtkreise 11 Kategorien Lang","Stadtkreise. Die Variable umfasst alle 12 Stadtkreise der Stadt Zürich. Allerdings sind die Kreise 1 und 2 in einem Variablenwert zusammengefasst, weshalb nur 11 Variablenwerte statt 12 vorhanden sind."
"stadtkreiseSort","Stadtkreise 11 Kategorien","Code der besagten Stadtkreise [Code. Typ: Integer]."
"f10000Lang","F10000 Geschlecht Lang","Geschlecht   [Beschreibung, String]."
"f10000Sort","F10000 Geschlecht","Geschlecht [Code. Typ: Integer]."
"f20000Lang","F20000 Wohnortsbeliebtheit der Stadt Zürich Lang","Wohnortsbeliebtheit der Stadt Zürich  [Beschreibung, String]."
"f20000Sort","F20000 Wohnortsbeliebtheit der Stadt Zürich","Wohnortsbeliebtheit der Stadt Zürich  [Code. Typ: Integer]."
"f20010Lang","F20010 Beurteilung der Lebensqualität in der Stadt Zürich Lang","Beurteilung der Lebensqualität in der Stadt Zürich  [Beschreibung, String]."
"f20010Sort","F20010 Beurteilung der Lebensqualität in der Stadt Zürich","Beurteilung der Lebensqualität in der Stadt Zürich [Code. Typ: Integer]."
"f21000_rec2aLang","F21000 Grösste Probleme 1. Nennung Lang","Grösste Probleme 1. Nennung  [Beschreibung, String]. "
"f21000_rec2aSort","F21000 Grösste Probleme 1. Nennung","Grösste Probleme 1. Nennung [Code. Typ: Integer]."
"f21000_rec2bLang","F21000 Grösste Probleme 2. Nennung Lang","Grösste Probleme 2. Nennung  [Beschreibung, String]. "
"f21000_rec2bSort","F21000 Grösste Probleme 2. Nennung","Grösste  Probleme 2. Nennung [Code. Typ: Integer]."
"f21000_rec2cLang","F21000 Grösste Probleme 3. Nennung Lang","Grösste Probleme 3. Nennung  [Beschreibung, String]. "
"f21000_rec2cSort","F21000 Grösste Probleme 3. Nennung","Grösste Probleme 3. Nennung [Code. Typ: Integer]. "
"f23001Lang","F23001 Zufriedenheit mit den Kinderbetreuungsangeboten (Fragebatterie) Lang","Zufriedenheit mit den Kinderbetreuungsangeboten (Fragebatterie)  [Beschreibung, String]."
"f23001Sort","F23001 Zufriedenheit mit den Kinderbetreuungsangeboten (Fragebatterie)","Zufriedenheit mit den Kinderbetreuungsangeboten (Fragebatterie) [Code. Typ: Integer]."
"f23002Lang","F23002 Zufriedenheit mit dem Angebot an Treffpunkten und Freizeiteinrichtungen (Fragebatterie) Lang","Zufriedenheit mit dem Angebot an Treffpunkten und Freizeiteinrichtungen (Fragebatterie)  [Beschreibung, String]."
"f23002Sort","F23002 Zufriedenheit mit dem Angebot an Treffpunkten und Freizeiteinrichtungen (Fragebatterie)","Zufriedenheit mit dem Angebot an Treffpunkten und Freizeiteinrichtungen (Fragebatterie) [Code. Typ: Integer]."
"f23003Lang","F23003 Zufriedenheit mit dem Angebot an Grünanlagen oder Pärken (Fragebatterie) Lang","Zufriedenheit mit dem Angebot an Grünanlagen oder Pärken (Fragebatterie)  [Beschreibung, String]."
"f23003Sort","F23003 Zufriedenheit mit dem Angebot an Grünanlagen oder Pärken (Fragebatterie)","Zufriedenheit mit dem Angebot an Grünanlagen oder Pärken (Fragebatterie) [Code. Typ: Integer]."
"f23004Lang","F23004 Zufriedenheit mit dem Angebot an Sportanlagen oder Schwimmbädern (Fragebatterie) Lang","Zufriedenheit mit dem Angebot an Sportanlagen oder Schwimmbädern (Fragebatterie)  [Beschreibung, String]."
"f23004Sort","F23004 Zufriedenheit mit dem Angebot an Sportanlagen oder Schwimmbädern (Fragebatterie)","Zufriedenheit mit dem Angebot an Sportanlagen oder Schwimmbädern (Fragebatterie) [Code. Typ: Integer]."
"f23005Lang","F23005 Zufriedenheit mit den Kulturangeboten in der Stadt Zürich (Fragebatterie) Lang","Zufriedenheit mit den Kulturangeboten in der Stadt Zürich (Fragebatterie)  [Beschreibung, String]."
"f23005Sort","F23005 Zufriedenheit mit den Kulturangeboten in der Stadt Zürich (Fragebatterie)","Zufriedenheit mit den Kulturangeboten in der Stadt Zürich (Fragebatterie) [Code. Typ: Integer]."
"f23006Lang","F23006 Zufriedenheit mit den Möglichkeiten zum Ausgehen (Fragebatterie) Lang","Zufriedenheit mit den Möglichkeiten zum Ausgehen (Fragebatterie)  [Beschreibung, String]."
"f23006Sort","F23006 Zufriedenheit mit den Möglichkeiten zum Ausgehen (Fragebatterie)","Zufriedenheit mit den Möglichkeiten zum Ausgehen (Fragebatterie) [Code. Typ: Integer]."
"f23007Lang","F23007 Zufriedenheit mit dem Wohnungsangebot (Fragebatterie) Lang","Zufriedenheit mit dem Wohnungsangebot (Fragebatterie)  [Beschreibung, String]."
"f23007Sort","F23007 Zufriedenheit mit dem Wohnungsangebot (Fragebatterie)","Zufriedenheit mit dem Wohnungsangebot (Fragebatterie) [Code. Typ: Integer]."
"f23008Lang","F23008 Zufriedenheit mit den öffentlichen Verkehrsmitteln der Stadt Zürich (Fragebatterie) Lang","Zufriedenheit mit den öffentlichen Verkehrsmitteln der Stadt Zürich (Fragebatterie)  [Beschreibung, String]."
"f23008Sort","F23008 Zufriedenheit mit den öffentlichen Verkehrsmitteln der Stadt Zürich (Fragebatterie)","Zufriedenheit mit den öffentlichen Verkehrsmitteln der Stadt Zürich (Fragebatterie) [Code. Typ: Integer]."
"f23009Lang","F23009 Zufriedenheit mit dem Parkplatzangebot in der Innenstadt (Fragebatterie) Lang","Zufriedenheit mit dem Parkplatzangebot in der Innenstadt (Fragebatterie)  [Beschreibung, String]."
"f23009Sort","F23009 Zufriedenheit mit dem Parkplatzangebot in der Innenstadt (Fragebatterie)","Zufriedenheit mit dem Parkplatzangebot in der Innenstadt (Fragebatterie) [Code. Typ: Integer]."
"f23010Lang","F23010 Zufriedenheit mit den Bildungs- und Weiterbildungsangeboten (Fragebatterie) Lang","Zufriedenheit mit den Bildungs- und Weiterbildungsangeboten (Fragebatterie)  [Beschreibung, String]."
"f23010Sort","F23010 Zufriedenheit mit den Bildungs- und Weiterbildungsangeboten (Fragebatterie)","Zufriedenheit mit den Bildungs- und Weiterbildungsangeboten (Fragebatterie) [Code. Typ: Integer]."
"f23011Lang","F23011 Zufriedenheit mit der Sauberkeit auf Strassen und Plätzen (Fragebatterie) Lang","Zufriedenheit mit der Sauberkeit auf Strassen und Plätzen (Fragebatterie)  [Beschreibung, String]."
"f23011Sort","F23011 Zufriedenheit mit der Sauberkeit auf Strassen und Plätzen (Fragebatterie)","Zufriedenheit mit der Sauberkeit auf Strassen und Plätzen (Fragebatterie) [Code. Typ: Integer]."
"f23013Lang","F23013 Zufriedenheit mit der Verkehrssicherheit (Fragebatterie) Lang","Zufriedenheit mit der Verkehrssicherheit (Fragebatterie)  [Beschreibung, String]."
